Name,PA,k_percent,bb_percent,woba,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,pitch_hand,n_fastball,n_breaking,n_offspeed
"Verlander, Justin",396,18.7,6.8,0.337,6.9,32.5,21.3,48.7,R,48.7,41.2,10.1
"Chavez, Jesse",264,20.8,7.2,0.315,6.3,35.4,17,42.3,R,78,8.6,13.4
"Morton, Charlie",701,23.8,9.3,0.335,9.3,38.4,26.1,46.6,R,46.6,42.4,11
"Lynn, Lance",511,21.3,8.6,0.314,10.5,39.3,24.1,48.4,R,86.2,7.5,6.3
"Carrasco, Carlos",447,19.9,7.4,0.360,8.1,38.8,22.7,48.7,R,42.3,34.4,23.3
"García, Luis",254,20.9,5.9,0.314,7.1,39.3,24,49.7,R,60.2,21.2,18.6
"Quintana, Jose",717,18.8,8.8,0.312,6.7,38.2,22.2,43.1,L,52.9,27.8,19.3
"Gibson, Kyle",722,20.9,9.4,0.323,9.2,39.1,25.9,42.9,R,60.7,29.3,9.9
"Robertson, David",297,33.3,9.4,0.257,5.5,37.8,29.5,43.4,R,64.8,33.4,1.7
"Anderson, Chase",255,16.5,8.2,0.329,8.5,33,23.8,46.4,R,50.4,19.2,30.4
"Darvish, Yu",331,23.6,6.6,0.286,7.5,39.9,25.6,51.5,R,40.2,50.7,9
"Cruz, Fernando",288,37.8,12.2,0.307,9.8,44.1,38.2,46.7,R,58.1,0,41.9
"Kelly, Merrill",300,21,6.3,0.311,10.7,40.9,21.3,48.2,R,59.5,19.6,20.9
"Sale, Chris",702,32.1,5.6,0.260,5.6,31.2,31,49,L,45,40.3,14.7
"Strickland, Hunter",294,19.4,8.2,0.286,9,35.5,22.8,47,R,72.3,21.6,6.1
"Pérez, Martín",590,18.1,8.3,0.351,8.6,41.5,21,46,L,63.2,14.1,22.7
"Anderson, Tyler",765,18.6,9.5,0.308,7.9,33,27.8,49.3,L,61.5,1.4,37.1
"Armstrong, Shawn",295,22.4,8.5,0.345,8.9,38.1,22.9,50.9,R,91.8,8.2,0
"Cole, Gerrit",390,25.4,7.4,0.286,7.4,39.5,24.8,48.3,R,62.2,33.8,4
"Eovaldi, Nathan",696,23.9,6,0.291,7.7,42.6,26.8,52.2,R,52.2,17,30.8
"Gray, Sonny",671,30.3,5.8,0.292,8.9,37.9,29.8,48.7,R,59.5,34.1,6.4
"Hendricks, Kyle",567,15.3,7.6,0.339,7.4,33.4,18.9,46.2,R,48.2,13.1,38.7
"Hudson, Daniel",253,24.9,7.5,0.274,12.4,49.4,32.3,50.6,R,55.4,40.9,3.7
